,number,model_name,slump,allStarts,bb,rb,judge
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,703,4939,56,5,win
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2614,7625,113,12,win
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1984,4418,31,2,lose
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3402,7399,118,11,win
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2607,9631,1,18,win
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-728,7190,80,11,lose
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,5519,10013,0,21,win
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1687,7368,24,31,lose
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1776,8249,33,29,lose
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,5109,5594,41,43,win
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1162,3950,14,11,lose
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2899,8344,42,0,win
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,7352,5999,47,62,win
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1531,7932,35,36,win
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1838,9171,8,11,win
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2313,7666,125,12,win
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1619,6163,71,7,lose
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-703,5812,78,6,lose
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-943,4746,53,5,lose
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,838,6743,96,8,win
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,130,6249,100,9,win
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-614,4667,48,4,lose
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1117,3011,28,3,lose
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,3983,7622,157,14,win
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-171,6232,87,8,lose
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,435,3435,55,3,win
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-960,4663,58,5,lose
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,316,4812,64,6,win
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1304,9699,0,10,win
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,472,5607,76,6,win
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,193,2332,40,0,win
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,468,4154,59,4,win
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1792,3401,21,2,lose
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2551,4524,89,7,win
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,5670,8185,183,16,win
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-3858,4130,10,0,lose
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,44,3847,49,5,win
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-199,2425,29,2,lose
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-98,7714,107,0,lose
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-692,4206,49,3,lose
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-325,4904,68,5,lose
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,3382,7644,167,14,win
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1771,3010,0,1,lose
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1899,6067,62,0,lose
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-937,3147,31,3,lose
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,3288,8307,154,13,win
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,249,9078,124,10,win
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,105,5195,74,5,win
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,30,2977,46,4,win
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-608,7678,100,10,lose
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-803,6159,67,7,lose
225,2226,マイジャグラーⅣ／ＫＥ,-1005,10528,31,42,lose
226,2227,マイジャグラーⅣ／ＫＥ,-914,8534,27,25,lose
227,2228,マイジャグラーⅣ／ＫＥ,-1443,6326,19,20,lose
228,2229,マイジャグラーⅣ／ＫＥ,2026,10242,40,36,win
