,number,model_name,slump,allStarts
402,2403,Ｓ／ドンちゃん２／ＤＣ,1565,3053
403,2404,Ｓ／ドンちゃん２／ＤＣ,-595,2243
404,2405,Ｓ／ドンちゃん２／ＤＣ,-938,2648
405,2406,ハナビＢＨＳ２,-203,167
406,2407,ハナビＢＨＳ２,-411,570
407,2408,ハナビＢＨＳ２,-489,1984
408,2409,ハナビＢＨＳ２,-467,284
409,2410,ハナビＢＨＳ２,-302,594
410,2411,ハナビＢＨＳ２,-576,494
411,2412,ハナビＢＨＳ２,-208,1011
412,2413,ハナビＢＨＳ２,-514,1055
413,2414,ハナビ２ＨＡ,-198,140
414,2415,ハナビ２ＨＡ,-430,373
415,2416,ハナビ２ＨＡ,245,1303
416,2417,ハナビ２ＨＡ,-113,999
417,2418,熊酒場２／ＮＣ,-339,182
418,2419,パチスロマッハＧｏＧｏＧｏ　Ａ,68,660
419,2420,Ｓ　ＰＹＲＡＭＩＤ　ＥＹＥ　Ａ２,273,1079
420,2421,３×３ＥＹＥＳ／Ａ７,-469,938
421,2422,沖ドキ！ＬＬ,-393,3659
422,2423,沖ドキ！ＬＬ,-227,1376
423,2424,沖ドキ！ＬＬ,4483,2375
424,2425,沖ドキ！ＬＬ,-3545,2333
425,2426,沖ドキ！ＬＬ,-1468,3901
426,2427,沖ドキ！ＬＬ,9622,3168
